race_new,count,percentage
Asian heritage,173,1.7399175299205472
Black,2401,24.147641556874184
Hispanic,1657,16.664990445539576
Native American,137,1.3778537664688726
Other,33,0.331891783164035
White,4409,44.34275369606758
NA,1133,11.394951221965202
