"armed_with","count","percentage"
"gun",212,46.1873638344227
"knife",95,20.6971677559913
"vehicle",47,10.239651416122
"unarmed",42,9.15032679738562
"replica",24,5.22875816993464
"undetermined",15,3.26797385620915
"blunt_object",14,3.05010893246187
"unknown",4,0.871459694989107
"gun;knife",2,0.435729847494553
"knife;knife",1,0.217864923747277
"knife;replica",1,0.217864923747277
"other",1,0.217864923747277
"vehicle;gun",1,0.217864923747277
